claim,value,analysis_source,site_source
national_top5,Gastrophryne carolinensis | Neocloeon triangulifer | Hyalella azteca | Daphnia ambigua | Daphnia magna,R1 AP02 figure_02a_top_k_curves.csv,site_data/national_sequence.json
fixed_x95_sequence_expected_capture_0.95,0.3377643309990005,R1 AP02 figure_02a_top_k_curves.csv,site_data/coverage.json
fixed_x95_sequence_expected_capture_0.9,0.6240965136220257,R1 AP02 figure_02a_top_k_curves.csv,site_data/coverage.json
fixed_x95_sequence_expected_capture_0.8,0.8877548283207125,R1 AP02 figure_02a_top_k_curves.csv,site_data/coverage.json
regional_supported_states,32,R1 AP04 ap04_state_support_and_fallback_ledger.csv,site_data/regional.json
regional_mean_gain_percentage_points,6.750579285927929,R1 AP04 ap04_state_support_and_fallback_ledger.csv,site_data/regional.json
available_member_spearman,0.8472895131381678,R1 G3 g3_authoritative_numeric_freeze.json,not displayed
mortality_excluded_scoreable_chemicals,145,R1 G3 g3_authoritative_numeric_freeze.json,not displayed
