national_rank,scientific_name,common_name,class,order,family,phylum,top5,top10,evidence_support,evidence_support_label,direct_protective_context_count,direct_protective_chemical_count,warning_context_count,eligible_state_count,broad_life_stage_category_count,official_or_common_method_species,selection_incremental_gain_lower5,selection_objective_cumulative_lower5,incremental_expected_capture_lower5,validated_incremental_expected_capture_lower5,rank_scope,leave_one_out_loss_top5,support_note,cumulative_expected_capture_lower-5%,cumulative_expected_capture_lower-10%,cumulative_expected_capture_lower-20%
46,Ceriodaphnia pulchella,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,False,False,sparse_5_19,Limited (5-19 protective contexts),7,3,0,0,1,False,0.0027744779491591016,0.9502004590630511,0.0034854114595093133,,extended_r1_greedy_order,,Limited direct protective support; interpret the rank with the reported uncertainty.,0.8303454328582826,0.9750180531385181,0.9992791448263395
47,Ceriodaphnia silvestrii,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,False,False,very_sparse_1_4,Very limited (1-4 protective contexts),2,2,0,0,2,False,0.0026275766276285537,0.9528280356906796,0.003379771839609802,,extended_r1_greedy_order,,Very limited direct protective support; confirmatory testing is a high priority.,0.8337252046978924,0.9759323433885105,0.9993248709872017
48,Daphnia retrocurva,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,False,False,very_sparse_1_4,Very limited (1-4 protective contexts),2,1,0,1,1,False,0.0024870276964298584,0.9553150633871093,0.0032695147307659767,,extended_r1_greedy_order,,Very limited direct protective support; confirmatory testing is a high priority.,0.8369947194286583,0.9767700222857499,0.9993645041957122
49,Daphnia spinulata,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,False,False,very_sparse_1_4,Very limited (1-4 protective contexts),2,2,1,0,1,False,0.0023464845885258477,0.9576615479756351,0.003157868767659555,,extended_r1_greedy_order,,Very limited direct protective support; confirmatory testing is a high priority.,0.8401525881963179,0.9775643014098309,0.9994010919511317
50,Daphnia gessneri,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,False,False,very_sparse_1_4,Very limited (1-4 protective contexts),2,1,0,0,1,False,0.002217314025009336,0.9598788620006447,0.003056318028067273,,extended_r1_greedy_order,,Very limited direct protective support; confirmatory testing is a high priority.,0.8432089062243852,0.9783211394527975,0.9994351107380597
51,Hyalella curvispina,,Malacostraca,Amphipoda,Hyalellidae,Arthropoda,False,False,sparse_5_19,Limited (5-19 protective contexts),14,9,0,0,1,False,0.0020999826600050955,0.9619788446606498,0.002980588704294407,,extended_r1_greedy_order,,Limited direct protective support; interpret the rank with the reported uncertainty.,0.8461894949286796,0.9790669949250037,0.999467573282462
52,Hyridella depressa,,Bivalvia,Unionoida,Hyriidae,Mollusca,False,False,sparse_5_19,Limited (5-19 protective contexts),12,6,0,0,1,False,0.001988566222733467,0.963967410883383,0.002899093864134117,,extended_r1_greedy_order,,Limited direct protective support; interpret the rank with the reported uncertainty.,0.8490885887928137,0.9798672446502177,0.999506586757436
53,Daphnia pulicaria,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,False,False,sparse_5_19,Limited (5-19 protective contexts),9,7,0,0,1,False,0.0018826926521868534,0.96585010353557,0.0027961608899272905,,extended_r1_greedy_order,,Limited direct protective support; interpret the rank with the reported uncertainty.,0.851884749682741,0.9805166197385695,0.9995328044647351
54,Hyridella drapeta,,Bivalvia,Unionoida,Hyriidae,Mollusca,False,False,sparse_5_19,Limited (5-19 protective contexts),12,6,0,0,1,False,0.0017763782121873672,0.9676264817477572,0.0027229226959492037,,extended_r1_greedy_order,,Limited direct protective support; interpret the rank with the reported uncertainty.,0.8546076723786902,0.981240523030206,0.9995659566686708
55,Daphnia sp.,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,False,False,moderate_20_49,Moderate (20-49 protective contexts),23,18,1,0,1,False,0.001676746619665092,0.9693032283674223,0.0026175863350471618,,extended_r1_greedy_order,,,0.8572252587137373,0.9818226701232512,0.9995880518649903
56,Daphnia obtusa,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,False,False,sparse_5_19,Limited (5-19 protective contexts),14,8,0,0,1,False,0.0015867657563939234,0.9708899941238163,0.0025415599349464246,,extended_r1_greedy_order,,Limited direct protective support; interpret the rank with the reported uncertainty.,0.8597668186486838,0.9823865370157628,0.99960917704594
57,Daphnia longispina,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,False,False,moderate_20_49,Moderate (20-49 protective contexts),30,13,1,0,2,False,0.0015005737520850538,0.9723905678759016,0.0024764640610115407,,extended_r1_greedy_order,,,0.8622432827096953,0.9829317231372746,0.9996296601553507
58,Thamnocephalus platyurus,,Branchiopoda,Anostraca,Thamnocephalidae,Arthropoda,False,False,moderate_20_49,Moderate (20-49 protective contexts),26,20,0,4,1,False,0.0014168627323337968,0.973807430608235,0.002400425297291675,,extended_r1_greedy_order,,,0.864643708006987,0.9834806629094525,0.9996502958639824
59,Daphnia catawba,,Branchiopoda,Diplostraca,Daphniidae,Arthropoda,False,False,very_sparse_1_4,Very limited (1-4 protective contexts),2,2,1,0,2,False,0.0013417223694896694,0.975149152977725,0.0023188246715899474,,extended_r1_greedy_order,,Very limited direct protective support; confirmatory testing is a high priority.,0.8669625326785769,0.9839710164695804,0.9996674232617326
60,Macrobrachium rosenbergii,,Malacostraca,Decapoda,Palaemonidae,Arthropoda,False,False,moderate_20_49,Moderate (20-49 protective contexts),38,24,4,0,2,False,0.001267511756193437,0.9764166647339184,0.002269591935669668,,extended_r1_greedy_order,,,0.8692321246142466,0.9844674708746564,0.999686683726919
